PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,AVG
C.Hyde,JAX,57.89,9.33,27.67,,6.57,,,39.02,84.81,2.23,,11.35,39.34,25.0,,,,,,,,,30.321000000000005
C.Edwards-Helaire,KC,58.9,74.19,53.76,51.0,10.83,,,,,,50.0,,60.67,28.03,37.21,21.26,,,,32.97,25.9,,42.059999999999995
Ty.Taylor,HOU,25.0,18.29,,,,,,,,,,,,,,,,,,,,,21.645
D.Swift,DET,33.62,34.26,50.54,17.78,47.22,66.67,35.04,47.37,,56.77,80.95,0.0,,,,,33.68,30.3,,,,,41.092307692307685
J.Winston,NO,21.64,39.58,2.82,,26.53,,42.55,26.32,,,,,,,,,,,,,,,26.573333333333334
N.Hines,IND,30.09,4.59,28.74,4.32,14.63,7.47,9.46,2.41,28.46,9.45,11.74,2.8,10.08,,,8.73,3.28,,,,,,11.750000000000002
E.Elliott,DAL,55.0,35.86,59.38,62.17,54.73,56.56,,64.1,65.38,35.96,39.02,39.06,30.82,36.89,41.6,34.26,35.56,50.88,40.26,,,,46.52722222222223
L.Fournette,TB,61.54,63.41,22.86,76.67,55.37,79.41,44.51,36.62,,88.68,37.23,70.42,77.19,82.48,28.81,,,,,100.0,,,61.679999999999986
M.Mariota,LV,37.8,,,,,,3.36,,5.13,,,2.8,,,3.06,,18.82,13.22,,,,,12.027142857142858
L.Rountree,LAC,30.0,-1.05,3.9,18.45,,,,6.75,1.12,12.2,3.14,,,,,,,,,,,,9.313749999999999
S.Barkley,NYG,43.33,34.97,51.0,62.65,12.33,,,,,,37.88,57.14,60.44,47.41,40.32,38.1,63.35,31.91,,,,,44.67923076923076
C.Claypool,PIT,33.33,-7.69,,,,,,13.91,12.38,,1.82,,2.35,1.89,20.0,,,41.77,,,,,13.306666666666668
